""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm022248"	4.47997537952794	4.68642743818982	280.084195085157	7.19860892302245e-63	2.51512197161481e-58
"PladumEVm051697"	5.3129953664341	4.27628988203858	251.490141683867	1.22907713622544e-56	2.14713630312902e-52
"PladumEVm005722"	3.04030366648126	3.40469682401621	214.413193535863	1.49650611940337e-48	1.74288091019448e-44
"PladumEVm053942"	-4.41761291167613	4.61449980505082	212.479819620853	3.95233914538824e-48	3.45226943501799e-44
"PladumEVm017982"	6.78109439038927	5.11473988422588	211.673205149772	5.92688636945253e-48	3.9740304843727e-44
"PladumEVm016437"	3.25426394556667	3.18213039686846	211.392474648771	6.82451784717255e-48	3.9740304843727e-44
"PladumEVm026805"	-3.34262833098437	4.2499069659854	204.725947509932	1.94349272539634e-46	9.70052747608896e-43
"PladumEVm040283"	3.18188978797512	4.96132909642437	203.19457810404	4.19498429085084e-46	1.83210695172547e-42
"PladumEVm013553"	4.8532117633802	5.04975316666997	194.133251171058	3.98273340294061e-44	1.54614135961491e-40
"PladumEVm047370"	-3.13903577153184	6.3300446917035	182.291834817776	1.53121749781435e-41	5.34992081561357e-38
"PladumEVm018416"	2.70879256336414	3.66263905188616	163.910798460118	1.58215234188279e-37	5.02534733391299e-34
"PladumEVm015436"	2.68265572585251	4.72630121811875	152.637035244312	4.59831709744906e-35	1.33883834223144e-31
"PladumEVm028923"	3.09954373149281	4.21334752300027	142.611472965709	7.14794616132974e-33	1.92109300715923e-29
"PladumEVm025421"	2.63445240022438	4.33348435254734	142.392011701392	7.98300798658338e-33	1.99227368602312e-29
"PladumEVm030309"	-2.56764752998691	3.94962461282064	140.933391265478	1.66382375934991e-32	3.87548922186177e-29
"PladumEVm016416"	2.51787299592467	4.27073625857279	139.280734431772	3.8238715585947e-32	8.35014052410876e-29
"PladumEVm045311"	-3.42714375729418	3.58404685765436	135.142963058928	3.07231381245874e-31	6.31432778197034e-28
