"","LY_1dpa_rep1","LY_1dpa_rep2","LY_1dpa_rep3","median_LY_1dpa"
"PladumEVm000001",135.466,124.424,129.01,129.01
"PladumEVm000002",10.083,11.748,11.283,11.283
"PladumEVm000003",24.927,26.823,26.863,26.823
"PladumEVm000004",5.485,6.452,6.313,6.313
"PladumEVm000006",55.231,43.711,55.093,55.093
"PladumEVm000007",1.732,0.906,1.971,1.732
"PladumEVm000008",4.321,4.708,6.469,4.708
"PladumEVm000010",26.657,23.117,29.242,26.657
"PladumEVm000011",44.326,39.05,47.962,44.326
"PladumEVm000012",2.747,2.924,4.778,2.924
"PladumEVm000014",0.836,1.402,1.847,1.402
"PladumEVm000015",16.711,12.213,17.07,16.711
"PladumEVm000016",6.835,3.39,3.081,3.39
"PladumEVm000017",1.236,0.911,1.847,1.236
"PladumEVm000018",15.806,9.631,18.467,15.806
"PladumEVm000019",2.459,1.228,4.176,2.459
"PladumEVm000020",2.202,0.863,2.665,2.202
"PladumEVm000023",22.891,22.652,27.715,22.891
"PladumEVm000024",7.53,6.329,8.702,7.53
"PladumEVm000025",24.415,32.557,36.156,32.557
"PladumEVm000026",6.665,6.274,8.118,6.665
"PladumEVm000030",2.43,2.256,2.521,2.43
"PladumEVm000032",33.695,38.29,45.087,38.29
"PladumEVm000034",10.872,10.038,14.145,10.872
"PladumEVm000035",17.222,14.06,19.97,17.222
"PladumEVm000037",14.247,9.987,15.022,14.247
"PladumEVm000038",12.409,12.624,15.195,12.624
"PladumEVm000040",6.911,4.428,6.613,6.613
"PladumEVm000042",11.944,9.79,11.781,11.781
"PladumEVm000046",21.205,17.539,21.7,21.205
"PladumEVm000048",7.29,5.722,7.649,7.29
"PladumEVm000049",5.233,5.067,5.946,5.233
"PladumEVm000050",161.513,148.298,202.764,161.513
"PladumEVm000051",16.349,14.092,18.452,16.349
"PladumEVm000055",15.151,19.423,21.468,19.423
"PladumEVm000057",119.893,105.362,130.65,119.893
"PladumEVm000058",3.869,4.696,3.462,3.869
"PladumEVm000059",4.896,2.924,5.91,4.896
"PladumEVm000060",1.724,1.855,1.461,1.724
"PladumEVm000062",1.6,1.224,2.067,1.6
"PladumEVm000064",9.019,9.511,11.292,9.511
"PladumEVm000066",102.043,90.97,100.633,100.633
"PladumEVm000067",20.63,38.41,30.331,30.331
"PladumEVm000069",2.979,3.407,4.049,3.407
"PladumEVm000070",39.711,31.466,37.342,37.342
"PladumEVm000077",3.615,2.561,5.607,3.615
"PladumEVm000079",4.099,3.327,4.093,4.093
"PladumEVm000080",29.096,30.382,35.491,30.382
"PladumEVm000083",34.817,31.238,37.315,34.817
"PladumEVm000085",5.674,4.481,5.467,5.467
"PladumEVm000086",9.407,7.363,9.472,9.407
"PladumEVm000091",37.745,28.927,38.826,37.745
"PladumEVm000092",23.858,21.128,22.682,22.682
"PladumEVm000093",12.954,11.352,12.771,12.771
"PladumEVm000095",5.432,4.095,5.803,5.432
"PladumEVm000096",18.601,22.879,24.624,22.879
"PladumEVm000099",16.245,15.449,20.846,16.245
"PladumEVm000100",12.731,10.844,14.041,12.731
"PladumEVm000101",23.878,24.357,19.561,23.878
"PladumEVm000102",22.596,24.138,20.711,22.596
"PladumEVm000103",46.776,38.242,43.852,43.852
"PladumEVm000104",1.205,1.319,1.623,1.319
"PladumEVm000105",24.376,35.971,48.397,35.971
"PladumEVm000106",21.941,20.796,29.556,21.941
"PladumEVm000107",6.456,5.661,6.806,6.456
"PladumEVm000110",5.058,4.572,6.73,5.058
"PladumEVm000115",4.306,4.928,4.521,4.521
"PladumEVm000116",5.225,7.078,5.981,5.981
"PladumEVm000117",44.617,36.434,46.395,44.617
"PladumEVm000118",11.627,7.983,10.457,10.457
"PladumEVm000120",17.58,17.291,18.991,17.58
"PladumEVm000121",14.185,11.345,14.785,14.185
"PladumEVm000122",20.543,15.528,19.217,19.217
"PladumEVm000123",3.62,2.983,4.168,3.62
"PladumEVm000124",3.414,2.879,4.007,3.414
"PladumEVm000125",7.18,7.088,8.998,7.18
"PladumEVm000126",1.899,2.102,3.027,2.102
"PladumEVm000133",3.651,3.199,4.253,3.651
"PladumEVm000134",8.913,5.802,9.253,8.913
"PladumEVm000136",9.94,8.638,11.203,9.94
"PladumEVm000138",3.503,2.349,3.368,3.368
"PladumEVm000140",6.723,5.976,7.762,6.723
"PladumEVm000141",3.406,2.993,4.668,3.406
"PladumEVm000143",5.891,4.406,6.083,5.891
"PladumEVm000144",9.923,7.62,11.129,9.923
"PladumEVm000146",1.456,1.477,2.184,1.477
"PladumEVm000147",10.509,9.495,13.449,10.509
"PladumEVm000150",8.577,6.549,9.231,8.577
"PladumEVm000153",20.472,18.993,22.514,20.472
"PladumEVm000154",438.92,444.3,475.889,444.3
"PladumEVm000155",3.024,3.105,4.146,3.105
"PladumEVm000156",5.207,8.776,8.422,8.422
"PladumEVm000158",8.995,7.92,10.516,8.995
"PladumEVm000159",14.659,13.245,16.399,14.659
"PladumEVm000162",2.864,3.688,3.021,3.021
"PladumEVm000163",137.168,133.511,125.316,133.511
"PladumEVm000165",1.273,0.579,1.599,1.273
"PladumEVm000166",1.772,1.733,2.686,1.772
"PladumEVm000169",10.921,12.017,13.997,12.017
"PladumEVm000170",2.645,2.153,2.434,2.434
"PladumEVm000172",7.7,6.292,7.419,7.419
"PladumEVm000175",6.983,4.744,7.959,6.983
"PladumEVm000178",10.747,8.917,13.246,10.747
"PladumEVm000180",7.607,5.702,10.391,7.607
"PladumEVm000186",3.822,3.135,4.327,3.822
"PladumEVm000188",13.34,12.263,15.918,13.34
"PladumEVm000190",2.405,2.239,2.558,2.405
"PladumEVm000191",44.186,48.837,59.437,48.837
"PladumEVm000192",3.519,3.84,5.551,3.84
"PladumEVm000193",9.206,7.693,9.594,9.206
"PladumEVm000195",23.314,17.932,24.48,23.314
"PladumEVm000198",17.157,18.326,23.116,18.326
"PladumEVm000201",26.218,33.176,31.147,31.147
"PladumEVm000202",22.741,20.707,17.117,20.707
"PladumEVm000203",23.888,18.201,22.884,22.884
"PladumEVm000205",7.872,7.141,9.126,7.872
"PladumEVm000206",57.03,60.7,75.648,60.7
"PladumEVm000213",27.899,22.419,29.106,27.899
"PladumEVm000218",14.294,10.47,10.285,10.47
"PladumEVm000219",19.367,21.431,30.339,21.431
"PladumEVm000220",3.779,4.188,4.7,4.188
"PladumEVm000221",2.115,2.218,2.23,2.218
"PladumEVm000223",37.495,28.948,36.345,36.345
"PladumEVm000224",2.496,1.733,1.607,1.733
"PladumEVm000225",1.758,1.901,2.681,1.901
