"","LY_2dpa_rep1","LY_2dpa_rep2","LY_2dpa_rep3","median_LY_2dpa"
"PladumEVm000001",122.711,116.673,109.014,116.673
"PladumEVm000002",15.615,15.594,10.45,15.594
"PladumEVm000003",34.478,38.013,31.245,34.478
"PladumEVm000004",7.682,8.289,6.219,7.682
"PladumEVm000006",54.288,46.26,36.407,46.26
"PladumEVm000007",0.167,4.38,3.11,3.11
"PladumEVm000008",5.359,5.412,3.092,5.359
"PladumEVm000010",26.784,26.811,21.009,26.784
"PladumEVm000011",41.886,42.291,30.174,41.886
"PladumEVm000012",2.333,2.582,0.647,2.333
"PladumEVm000014",1.815,1.456,0.847,1.456
"PladumEVm000015",14.857,13.765,9.721,13.765
"PladumEVm000016",7.321,4.354,3.479,4.354
"PladumEVm000017",2.274,1.504,1.465,1.504
"PladumEVm000018",1.655,28.239,30.275,28.239
"PladumEVm000019",0.047,5.523,6.247,5.523
"PladumEVm000023",28.735,33.202,30.634,30.634
"PladumEVm000024",9.729,11.971,4.742,9.729
"PladumEVm000025",29.544,27.041,14.174,27.041
"PladumEVm000026",7.01,7.906,8.138,7.906
"PladumEVm000030",2.33,2.595,1.919,2.33
"PladumEVm000032",32.607,37.644,38.871,37.644
"PladumEVm000034",10.786,10.551,7.274,10.551
"PladumEVm000035",16.038,16.277,8.238,16.038
"PladumEVm000037",11.475,11.631,7.976,11.475
"PladumEVm000038",15.598,14.685,12.24,14.685
"PladumEVm000040",5.505,5.277,3.436,5.277
"PladumEVm000042",13.758,17.494,12.048,13.758
"PladumEVm000046",16.577,14.441,5.344,14.441
"PladumEVm000048",8.353,7.286,4.997,7.286
"PladumEVm000049",5.811,3.772,2.703,3.772
"PladumEVm000050",182.633,168.616,114.701,168.616
"PladumEVm000051",14.637,13.154,10.342,13.154
"PladumEVm000055",22.558,21.839,12.989,21.839
"PladumEVm000057",109.796,119.491,126.216,119.491
"PladumEVm000058",2.152,2.644,2.705,2.644
"PladumEVm000059",5.11,3.29,4.08,4.08
"PladumEVm000060",1.452,1.788,1.681,1.681
"PladumEVm000062",1.285,1.044,1.472,1.285
"PladumEVm000064",9.107,9.086,7.406,9.086
"PladumEVm000066",99.532,103.921,94.604,99.532
"PladumEVm000067",22.918,25.865,25.528,25.528
"PladumEVm000069",3.235,3.096,1.623,3.096
"PladumEVm000070",44.545,30.971,31.919,31.919
"PladumEVm000077",0.313,6.986,7.292,6.986
"PladumEVm000079",4.119,4.413,2.761,4.119
"PladumEVm000080",36.122,38.073,36.154,36.154
"PladumEVm000083",32.301,34.505,26.725,32.301
"PladumEVm000085",5.638,6.514,4.466,5.638
"PladumEVm000086",8.607,7.547,6.007,7.547
"PladumEVm000091",36.502,37.648,29.485,36.502
"PladumEVm000092",26.199,24.929,26.249,26.199
"PladumEVm000093",13.078,11.858,7.071,11.858
"PladumEVm000095",6.538,7.213,3.461,6.538
"PladumEVm000096",24.726,25.672,25.492,25.492
"PladumEVm000099",17.272,22.696,19.981,19.981
"PladumEVm000100",10.306,8.362,4.538,8.362
"PladumEVm000101",20.371,29.198,31.895,29.198
"PladumEVm000102",17.628,22.458,24.819,22.458
"PladumEVm000103",34.409,38.177,29.371,34.409
"PladumEVm000104",1.29,1.161,0.667,1.161
"PladumEVm000105",19.126,12.169,26.365,19.126
"PladumEVm000106",21.765,23.952,15.188,21.765
"PladumEVm000107",7.071,5.911,3.865,5.911
"PladumEVm000110",6.668,4.475,2.089,4.475
"PladumEVm000115",15.789,19.672,11.442,15.789
