""	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"PladumEVm064304"	2.31385718456232	4.65389987956535	132.722963099839	1.03951090877878e-30	3.63194716418216e-26
"PladumEVm040446"	3.41637385502446	1.30671536385986	104.948518113161	1.25350716905179e-24	2.18981434897503e-20
"PladumEVm020447"	1.90506648104132	4.23255561735949	102.867749209015	3.58285015570825e-24	4.17270671967635e-20
"PladumEVm000424"	1.73385193190303	4.84687871495436	96.2237396891582	1.02607152515761e-22	8.96247825437043e-19
"PladumEVm030894"	2.7304432944864	4.53518794112172	88.7255631734435	4.53565945761869e-21	2.6915045468807e-17
"PladumEVm033969"	-2.33484245001133	4.43160864607283	88.6882335228392	4.62206339084811e-21	2.6915045468807e-17
"PladumEVm046877"	-3.13719338921304	4.9657295048376	88.2088621191599	5.8895450237516e-21	2.93964019406939e-17
"PladumEVm000115"	2.15312556651971	3.33658284562533	78.6984671947532	7.23516859147495e-19	3.15986944271929e-15
"PladumEVm013119"	1.96670139512382	3.84454146582271	78.4214344888919	8.32439980824955e-19	3.23162449889368e-15
"PladumEVm075631"	9.27596560600786	0.273440691125906	75.1546240671133	4.3525618212651e-18	1.52074157473181e-14
"PladumEVm110092"	1.67392860708346	3.80389751532754	73.8016736826943	8.63733347693845e-18	2.74345267591593e-14
"PladumEVm112722"	1.94854356305093	3.85977618249505	71.3184106481592	3.0398603246234e-17	8.85080665683475e-14
"PladumEVm042103"	1.64688144370216	5.16221056011649	70.3444425326666	4.98029581020547e-17	1.33851196394438e-13
"PladumEVm044890"	1.87802006464963	3.14956976353488	69.9832490811451	5.98102119012704e-17	1.49264928115606e-13
"PladumEVm054058"	1.59836187849174	3.3600184606456	69.26021638717	8.62927793847055e-17	2.00998894594815e-13
"PladumEVm091096"	-3.58561666857056	0.934485637377082	67.4068797946786	2.20876851930502e-16	4.82326020599988e-13
"PladumEVm017747"	2.04610878599799	1.86643061950921	66.0724993207997	4.34637974960299e-16	8.93283306302228e-13
"PladumEVm086987"	-2.89857247113949	3.11514946452816	65.5222643087374	5.74611330723555e-16	1.11535251578613e-12
"PladumEVm064440"	2.21629443941029	1.44600953320459	65.253126063724	6.58696181237667e-16	1.21127294085594e-12
"PladumEVm020735"	1.48511505018747	3.17797693589131	64.4044115201606	1.01331017463176e-15	1.77020220957295e-12
"PladumEVm025019"	1.56799589658009	3.1126074096248	64.1579985307149	1.14830861143818e-15	1.91051212262089e-12
"PladumEVm003471"	1.87023231900202	3.22747862975989	63.1092209577871	1.95556484802136e-15	3.10570364659175e-12
"PladumEVm045284"	1.87203971282195	2.28644468154515	62.7163430067895	2.38726481557842e-15	3.62646284310845e-12
"PladumEVm014080"	-2.65110234496804	8.2415870900073	62.4517250899829	2.73056521300624e-15	3.97513408238437e-12
"PladumEVm016300"	1.34829472717357	3.85285751801238	61.4552687939909	4.52916712383487e-15	6.32978280558666e-12
"PladumEVm001742"	1.6765732527902	2.90363833733217	59.5092470369454	1.21720834991938e-14	1.63569394376282e-11
"PladumEVm044049"	1.72808308647014	1.6625546319196	59.0353876150096	1.54861705112885e-14	1.9916610686238e-11
"PladumEVm003159"	1.66942167040032	2.6987306627724	58.9759483644344	1.59611064774225e-14	1.9916610686238e-11
"PladumEVm031906"	1.79888518494136	2.84894424024811	58.7575318870779	1.78349511199146e-14	2.14874261096102e-11
"PladumEVm025751"	-1.88624590068528	7.98153087168909	57.9573400888139	2.67864186865922e-14	3.11963560830282e-11
"PladumEVm009497"	-1.83967370215094	3.8896228748607	57.2974315803135	3.74644160138016e-14	4.22248139066521e-11
"PladumEVm002666"	1.73086115078286	2.55284854856069	56.921164823838	4.53637279246818e-14	4.95301028112643e-11
"PladumEVm021837"	2.07245036346908	0.955396194765272	56.2505350742875	6.38004685914984e-14	6.75492294581322e-11
"PladumEVm005214"	1.60990153620481	3.56341880786819	56.1834314452069	6.60155036823282e-14	6.78386965634372e-11
"PladumEVm034998"	-1.40853156533276	7.78497822489035	55.1942211171291	1.09189290456446e-13	1.0899898912165e-10
"PladumEVm018010"	-4.08234617929339	1.33651480866106	54.3479384343057	1.6795410732109e-13	1.63004126546988e-10
"PladumEVm020342"	1.91754209948991	3.4929423610511	54.2484791756523	1.7667383145396e-13	1.66832621545132e-10
"PladumEVm033397"	1.55564689357109	4.38156545131906	52.5619699230779	4.16884135679604e-13	3.83303021487097e-10
"PladumEVm010655"	1.40051497854006	3.20322422346771	52.211396889125	4.98360573260533e-13	4.46467181260251e-10
"PladumEVm039764"	2.43570577146553	3.18215202571252	52.05742190672	5.39011113504424e-13	4.60445056087355e-10
"PladumEVm044055"	1.65667398207269	2.99849814455896	52.0526587337836	5.40320195185368e-13	4.60445056087355e-10
"PladumEVm079632"	-2.28052367904924	3.80860092570664	51.6850551327187	6.5156832123442e-13	5.32529706115698e-10
"PladumEVm101729"	-2.13103727501782	4.87786758745928	51.6735639045768	6.55393038237356e-13	5.32529706115698e-10
"PladumEVm083525"	-1.91301864681483	2.37440148836453	51.0425271318214	9.0386343345393e-13	7.17729193214701e-10
"PladumEVm035670"	1.22399025448149	3.6911007273634	50.694910443853	1.07898997962414e-12	8.37751797735288e-10
"PladumEVm002400"	1.74342317399093	3.27014222876333	50.129979944533	1.43891708981876e-12	1.09123076193895e-09
"PladumEVm024321"	-1.43878374637523	6.01428436419181	50.0908144451653	1.46792540745673e-12	1.09123076193895e-09
"PladumEVm006153"	1.67836798939652	3.45778546703594	49.89428837334	1.62256293266183e-12	1.18105679800566e-09
"PladumEVm113722"	2.33616975924768	3.19320414629803	49.7695783756342	1.72904191447205e-12	1.23287745815794e-09
"PladumEVm031026"	1.39609473500577	5.23167224033191	49.5214960557274	1.96210005690338e-12	1.34841523225901e-09
"PladumEVm015713"	-1.15897538871076	4.11488743536502	49.515342561375	1.96826402716762e-12	1.34841523225901e-09
"PladumEVm018069"	-2.90214958714331	5.26416357189357	48.7140403555595	2.96138783646362e-12	1.98976787727312e-09
"PladumEVm008257"	1.5513852583737	8.4736738050732	48.5099008802648	3.28625562480602e-12	2.16638651462448e-09
"PladumEVm049807"	5.23438123928594	-0.241466026885176	48.4327388285144	3.41813780533182e-12	2.21159845889794e-09
"PladumEVm016588"	-1.90288611393276	6.68482693955214	48.3652504378205	3.53782131081024e-12	2.24741706869816e-09
"PladumEVm080770"	-8.80362119041134	-0.382471638828716	48.300339658846	3.6568886677592e-12	2.28005832113307e-09
"PladumEVm007310"	1.40228089558078	2.69397225768823	48.2551695071695	3.74210375654836e-12	2.28005832113307e-09
"PladumEVm012078"	1.5651825662942	3.64089434939273	48.2328303031326	3.78497903848759e-12	2.28005832113307e-09
"PladumEVm009852"	1.87328928113938	1.92275224673602	47.2924275154098	6.11479897916898e-12	3.62110104293534e-09
"PladumEVm005568"	1.44377473241443	3.86036424766854	47.2288811328842	6.31628708170171e-12	3.63771078004274e-09
"PladumEVm073293"	2.11959578920795	2.6117047091776	47.2181139513016	6.35107924046502e-12	3.63771078004274e-09
"PladumEVm011142"	1.58613195580904	2.28904628486317	46.6802060225882	8.35688649942648e-12	4.70937511941067e-09
"PladumEVm043990"	1.33479812574462	4.67311567254575	46.5936436870855	8.73431085057504e-12	4.8439378858451e-09
"PladumEVm008302"	-2.18603012957562	1.47449191658873	46.4936679087059	9.19149945317732e-12	5.01784061554004e-09
"PladumEVm030317"	-1.53669544296241	5.82108280936286	46.2180152149887	1.05799677636922e-11	5.68697682608678e-09
"PladumEVm070927"	1.77091478477085	1.82077822348702	45.8231185357562	1.29427044445302e-11	6.81433363897463e-09
"PladumEVm029028"	1.72201594866333	2.01579097377149	45.8043422708316	1.30673560723347e-11	6.81433363897463e-09
"PladumEVm079739"	-1.18996471141143	3.31703015903085	45.6220708305889	1.43416459921933e-11	7.29285158847317e-09
"PladumEVm038334"	1.36499768131211	4.56951398212147	45.6137855601518	1.44024373795658e-11	7.29285158847317e-09
"PladumEVm005759"	-1.36668105315556	3.57315221945432	45.4545346981692	1.56223420101725e-11	7.79755724990598e-09
"PladumEVm005013"	1.42086990651676	2.08628491169489	45.2596858648689	1.72564975681433e-11	8.49189814835719e-09
"PladumEVm143770"	1.52390923821939	1.7482908435333	44.9698940080931	2.00087093946859e-11	9.70950413251292e-09
"PladumEVm003162"	-1.57197483197227	6.20046485977936	44.7581608499043	2.22935829531508e-11	1.06700752712348e-08
"PladumEVm058121"	-1.47308917260226	4.32365892254133	44.6168020339603	2.39626404603155e-11	1.13139283113914e-08
"PladumEVm038304"	1.66223203247921	1.9697661117675	44.5731291085519	2.45031641436999e-11	1.14148806935564e-08
"PladumEVm034673"	1.63386154319526	3.55641524844069	44.4998824316197	2.54372482227226e-11	1.16941054691277e-08
"PladumEVm011226"	-1.28108577674889	2.95483324567499	44.4653393680824	2.58900469566284e-11	1.17476928651642e-08
"PladumEVm010441"	1.65719352771999	2.35885436777891	44.1168833190657	3.09341267757068e-11	1.3856505838672e-08
"PladumEVm000506"	1.53624194165172	3.73027911576956	43.8756276304271	3.49919202154305e-11	1.54757303848978e-08
"PladumEVm002502"	1.36975652186746	3.36186009998367	43.6820813272384	3.86292505649767e-11	1.68708423186215e-08
"PladumEVm022343"	1.32617182993726	7.01133721305928	43.1873465323773	4.97413254731436e-11	2.14557058111872e-08
"PladumEVm005823"	1.42789625244753	3.071123022156	43.0961966165088	5.21134641335053e-11	2.22047844312261e-08
"PladumEVm013263"	1.44673982547869	2.68110956491886	42.6535863242068	6.53445141595591e-11	2.75068913279619e-08
"PladumEVm042765"	-1.60044667266992	5.55255901919843	42.5431340345464	6.91405459208302e-11	2.87583515943796e-08
"PladumEVm147682"	-2.01825590047646	4.24881990392908	42.519037981213	6.99975788694363e-11	2.87722989190498e-08
"PladumEVm045496"	-2.19431052369323	3.88127550384129	42.4438212994026	7.27418453297055e-11	2.95526434183091e-08
"PladumEVm019962"	2.58695071520793	1.83154828016527	42.2840051338267	7.89355009472613e-11	3.17003157194984e-08
"PladumEVm034997"	1.21490415344579	3.20402289021604	42.0510498273738	8.89214394437994e-11	3.52322394604772e-08
"PladumEVm058924"	-2.17761461786719	6.35359140171621	42.0329793481024	8.97469679150081e-11	3.52322394604772e-08
"PladumEVm045771"	1.44931393502555	3.52358568988046	41.9953990092501	9.14884307369301e-11	3.55168253501956e-08
"PladumEVm002752"	-1.3977239589054	3.67168724505491	41.8878743011279	9.66602085175096e-11	3.66763014709779e-08
"PladumEVm021315"	1.15194692725839	5.43702566625683	41.8533383667583	9.8382654740346e-11	3.66763014709779e-08
"PladumEVm027848"	-1.43874963122559	3.1836281672419	41.8522738182588	9.84362334023057e-11	3.66763014709779e-08
"PladumEVm010807"	1.77786991551291	2.17153935156204	41.8398350913646	9.90644424766908e-11	3.66763014709779e-08
"PladumEVm062868"	1.53843058610959	3.15154519648397	41.8268649360552	9.9723765412373e-11	3.66763014709779e-08
"PladumEVm027818"	-3.11549475803086	2.19160806602485	41.7748069046521	1.02414569020914e-10	3.72735690314763e-08
"PladumEVm033092"	1.4272635812276	3.05018309561489	41.7094011623359	1.05898554751649e-10	3.81442227264729e-08
"PladumEVm031331"	1.25242422500067	3.3362589897229	41.4173144807692	1.22963431417833e-10	4.38389727582414e-08
"PladumEVm001825"	1.60891526372941	2.75935995345607	41.3115025523664	1.29802820169549e-10	4.58099064030693e-08
"PladumEVm058140"	-3.51564764442008	8.74517115441528	41.1096855691567	1.43921368654999e-10	4.98594343915969e-08
"PladumEVm098760"	1.7182406571304	1.84566777956047	41.0965530567565	1.44891638112603e-10	4.98594343915969e-08
"PladumEVm000512"	-1.20636797530916	5.03521812011255	41.0875804382194	1.45558324735765e-10	4.98594343915969e-08
"PladumEVm083190"	1.90902260616541	2.61961029484385	40.7707192402867	1.71178842957287e-10	5.80661902338316e-08
"PladumEVm093512"	-1.45480301422686	1.70227588322064	40.5325664844882	1.9336612864844e-10	6.4961722777383e-08
"PladumEVm096432"	2.42608837575514	1.61786745039129	40.4886578049837	1.97760710434508e-10	6.5805347255917e-08
"PladumEVm001126"	-1.06156777226804	4.57122328044164	40.4175928079851	2.05086074905333e-10	6.75990789728058e-08
"PladumEVm142616"	1.3604913918393	2.02830080387145	40.3401532096655	2.13378159360349e-10	6.96749486905721e-08
"PladumEVm070321"	1.77461256899082	4.29735166352051	40.036469446017	2.49265352990303e-10	8.06396497048905e-08
"PladumEVm025772"	1.09057204363421	5.68821551173508	40.0039131517864	2.53454603885314e-10	8.12426642674219e-08
"PladumEVm062969"	-2.02004264418909	4.33574932962253	39.8163331297	2.79002164108687e-10	8.86186964708493e-08
"PladumEVm034228"	1.13980217516035	3.08280812380774	39.753635260167	2.88103862010021e-10	9.06852327456589e-08
"PladumEVm090746"	2.56399442179476	1.66871822498535	39.5465043695116	3.20339326149906e-10	9.99315688959962e-08
"PladumEVm070406"	-2.1373560454446	2.41533426031099	39.5049413158235	3.27230356568699e-10	1.01177888744724e-07
"PladumEVm003612"	1.6170150252882	1.75291073075916	39.4742619259109	3.32411932326462e-10	1.01878425469774e-07
"PladumEVm001593"	1.21239023015139	5.31888239118447	39.1626329914766	3.89932042034657e-10	1.18468135796947e-07
"PladumEVm000458"	1.27720300794785	2.62343338046379	38.6841414175523	4.98240756623471e-10	1.50069256859202e-07
"PladumEVm100901"	-1.71966664341778	1.48611155605719	38.5823259836637	5.24921164333071e-10	1.56754021885754e-07
"PladumEVm023590"	-1.17166251574561	2.58615914548129	38.3628921849763	5.87387556746289e-10	1.73921473264056e-07
"PladumEVm025417"	1.05535752388887	3.05103041398376	38.1922890601139	6.41052462065791e-10	1.88216235059804e-07
"PladumEVm017410"	-1.2920539578291	3.28921868589886	38.0266475156677	6.9784978742927e-10	2.03184781024927e-07
"PladumEVm003754"	1.42792557244554	3.07448721891068	37.6072001583051	8.65245031554533e-10	2.49841290557718e-07
"PladumEVm011842"	-1.35468813561771	1.98512894663725	37.4687236516158	9.28906626311926e-10	2.66025152596003e-07
"PladumEVm056674"	1.6072582267719	3.02583184425221	37.4302470456965	9.47413733704124e-10	2.69119418226735e-07
"PladumEVm008943"	1.92339886523858	1.55729085335676	37.201870344306	1.06511573933589e-09	2.99691176424017e-07
"PladumEVm006456"	-1.42712903453051	5.40132864745764	37.1889533771635	1.07219431160028e-09	2.99691176424017e-07
"PladumEVm060986"	-1.26979994682177	5.00958593320397	37.1503361486011	1.09363892789401e-09	3.02097523178177e-07
"PladumEVm014969"	1.15050159002716	5.65331617045725	37.1424046497766	1.09809626616756e-09	3.02097523178177e-07
"PladumEVm034404"	-1.1681989366607	6.48763010034968	36.707173956404	1.37273343855535e-09	3.74702606325666e-07
"PladumEVm050684"	-1.23348186168087	4.58184129273821	36.6063754223328	1.44558154116217e-09	3.91528476485775e-07
"PladumEVm000478"	1.45955819249708	3.00288043141078	36.488505365293	1.53569209556737e-09	4.1273497020791e-07
"PladumEVm014325"	1.11339370754768	3.37188242933977	36.4300836217574	1.58241841411459e-09	4.22046694433203e-07
"PladumEVm095151"	1.09471538158508	5.30018907266061	36.3777131902185	1.62551365275729e-09	4.30256223588539e-07
"PladumEVm029223"	-2.00990975063982	2.37242527198406	36.3183933867408	1.67574866779569e-09	4.40217915068523e-07
"PladumEVm002230"	1.76352106301022	1.56165336021403	36.300709817858	1.69102264318875e-09	4.40915224853519e-07
"PladumEVm050707"	-2.01277831153311	5.37926619569587	36.178949265977	1.80004498965334e-09	4.65864976988875e-07
"PladumEVm100888"	1.37255325804582	4.35550568208712	36.0448706220085	1.9282570413621e-09	4.95377740942283e-07
"PladumEVm001130"	-1.51208715309201	4.20998141727867	35.9380093261816	2.03696057235748e-09	5.17953988541871e-07
"PladumEVm060089"	-1.35643339877337	3.4765846891576	35.9188944159176	2.05704227955796e-09	5.17953988541871e-07
"PladumEVm020083"	1.21461152625469	2.62762876543719	35.9147249685242	2.06144887968319e-09	5.17953988541871e-07
"PladumEVm141574"	2.54228277753114	2.40808859266067	35.8941468579335	2.08333628795768e-09	5.17953988541871e-07
"PladumEVm067744"	2.05711086177096	1.92764595156148	35.8876845518896	2.09025766004762e-09	5.17953988541871e-07
"PladumEVm017675"	1.59597387584239	2.16041257942686	35.8731442960318	2.10591512343396e-09	5.18158933082107e-07
"PladumEVm096400"	1.5148732382581	1.53028992427964	35.7025405165926	2.29864056377525e-09	5.61623794809394e-07
"PladumEVm013602"	1.42157361980228	2.6266884991815	35.3744862464283	2.7202703644813e-09	6.60024487948695e-07
"PladumEVm044915"	-1.74512715729312	2.19354571473264	35.249107798371	2.9011497443492e-09	6.95650927131816e-07
"PladumEVm009037"	1.28760335832899	2.8943850785412	35.2452351131886	2.90692450731976e-09	6.95650927131816e-07
"PladumEVm047964"	1.09066056007083	3.58396377409098	35.2034603380332	2.96995361318058e-09	7.05899382931402e-07
"PladumEVm019642"	-1.36567709719195	2.65212869953811	35.1852395691917	2.99787171530843e-09	7.07720539602442e-07
"PladumEVm029251"	-1.14954300244718	3.16203192315197	35.0956370536067	3.13903310706603e-09	7.3607166260255e-07
"PladumEVm089071"	1.88664130324915	1.39406620723138	34.9096756292842	3.45360356214961e-09	8.04436365719636e-07
"PladumEVm028235"	-2.49216284252879	1.29854595236518	34.8860239097969	3.49581249190438e-09	8.08875448044022e-07
"PladumEVm075867"	1.78014005914408	1.26390193919301	34.7942895756192	3.66446715991378e-09	8.42321171712023e-07
"PladumEVm017970"	-1.1317675169519	3.90906097269288	34.4696968886268	4.32939346723515e-09	9.88658028442673e-07
"PladumEVm020236"	-1.35543133433596	2.39070411433733	34.2862034465543	4.75742439570656e-09	1.07761970770328e-06
"PladumEVm038495"	-2.91754295050834	-0.0474243823149424	34.2715872465489	4.79328888177741e-09	1.07761970770328e-06
"PladumEVm093464"	1.7574408023241	1.5527735065739	34.2642111173259	4.81149072388195e-09	1.07761970770328e-06
"PladumEVm024967"	-1.02238406101254	3.98545649900428	34.0733366766544	5.30735525411677e-09	1.18110627530946e-06
"PladumEVm039233"	-1.79617345688182	4.70515355918971	33.8676084895464	5.89927373125148e-09	1.30452357529238e-06
"PladumEVm000140"	1.54881509073065	3.69492998047983	33.8449999283954	5.96822823270796e-09	1.3114712341043e-06
"PladumEVm031914"	1.64203190272292	1.94703266955812	33.7798914119515	6.17134727861398e-09	1.34762939104684e-06
"PladumEVm043965"	3.53961762187071	0.582621192705314	33.7374576296491	6.30743994908581e-09	1.36879282224291e-06
"PladumEVm009335"	-1.51884391764193	2.73343001382144	33.591945300513	6.79736219694593e-09	1.46600640616725e-06
"PladumEVm001153"	1.31296457111032	2.58750838762963	33.5145826871095	7.07316829941304e-09	1.51041320277773e-06
"PladumEVm111672"	-2.35721949707234	3.69837254441915	33.5100362745229	7.08972109263424e-09	1.51041320277773e-06
"PladumEVm033746"	1.37638915081932	3.69903741467205	33.4868324922854	7.17480875200366e-09	1.51927662415913e-06
"PladumEVm141797"	-1.88006442724064	2.74943430851591	33.3864084278771	7.5550115131988e-09	1.59014787505815e-06
"PladumEVm097482"	-2.36266150337921	0.403584530599059	33.3485255597293	7.70362040723866e-09	1.61171732579947e-06
"PladumEVm010362"	-1.18144752427532	4.85116510876654	33.1026443790668	8.74197480076382e-09	1.80443155826719e-06
"PladumEVm006492"	-1.20738502699853	2.87774977579265	33.0969313227107	8.76769880177218e-09	1.80443155826719e-06
"PladumEVm003265"	1.31606119435861	1.54986961967086	33.0942753456463	8.7796835886952e-09	1.80443155826719e-06
"PladumEVm106202"	2.20794761743746	1.8040237006564	33.0758473315165	8.86329094234205e-09	1.81096211833035e-06
"PladumEVm025497"	-0.902561815168375	6.86489940748813	33.0102061711827	9.16763514827267e-09	1.85847306501698e-06
"PladumEVm087904"	-1.33746200306712	1.68238065168624	33.0028885849345	9.20220499292876e-09	1.85847306501698e-06
"PladumEVm046529"	1.2267040016	4.25312128495659	32.9791686532778	9.31516310801509e-09	1.8704740450054e-06
"PladumEVm013800"	1.57876746437703	1.57523877760155	32.9549868389209	9.43175049286451e-09	1.88306245982968e-06
"PladumEVm001052"	1.31228902844709	3.94578521461457	32.8884897553812	9.75994244022051e-09	1.937514937039e-06
"PladumEVm002408"	1.18412421816804	3.27847651990893	32.7500726381819	1.0480238709984e-08	2.06875175304029e-06
"PladumEVm002872"	1.48981276316772	1.80962906407484	32.7092014182715	1.07029358982609e-08	2.10084200758055e-06
"PladumEVm036990"	-1.11931857915264	6.69553525367392	32.6395972417181	1.10931556203578e-08	2.15339434830146e-06
"PladumEVm014067"	-1.15167753754808	4.40172042094053	32.6394607523401	1.10939346487954e-08	2.15339434830146e-06
"PladumEVm063532"	-0.995533492152904	3.76599937312014	32.5132903529114	1.18380199558182e-08	2.28513027202394e-06
"PladumEVm041931"	-1.38888296896882	4.37580574971757	32.3996574876945	1.25508594790069e-08	2.40942021613748e-06
"PladumEVm034391"	-1.16417061746518	3.38640047983954	32.3856473381883	1.26416740272592e-08	2.41359261660333e-06
"PladumEVm031587"	0.9945529519317	5.58939504363849	32.3429332915628	1.29226312358169e-08	2.45382506928373e-06
"PladumEVm021083"	-1.0483135579888	3.54861668409972	32.2569099525373	1.35075861714356e-08	2.55103542293939e-06
"PladumEVm034157"	-1.50307708303247	2.74310824706876	32.226675689144	1.37194163908083e-08	2.57711123267984e-06
"PladumEVm007506"	2.12914779181349	1.5013094108973	32.1374938075929	1.43638334347738e-08	2.68373249399766e-06
"PladumEVm083213"	-1.13303868148444	5.37540761190663	32.007641124198	1.53567342159329e-08	2.85398370622596e-06
"PladumEVm071875"	-3.96358618704048	2.98938322341227	31.943037069146	1.58760430603103e-08	2.93488396023377e-06
"PladumEVm057844"	1.27371480722925	1.83646313755515	31.9263975348812	1.60126224841051e-08	2.94455272090605e-06
"PladumEVm037005"	-1.35613514328529	3.31307182389334	31.8769232683091	1.64257052238158e-08	3.00470007756492e-06
"PladumEVm027919"	1.70921492245133	1.73206340309881	31.8560413030668	1.66032458581159e-08	3.02027405404562e-06
"PladumEVm042735"	2.70890634730935	0.426766425057995	31.846648329999	1.66837314299437e-08	3.02027405404562e-06
"PladumEVm002861"	1.51470540131747	2.57011455009805	31.8124113607742	1.69804203524798e-08	3.05813869430563e-06
"PladumEVm026904"	-1.0923152940719	5.5567781845291	31.7583340948755	1.74598437752005e-08	3.12835631621401e-06
"PladumEVm129302"	-1.84080860519325	5.31020107701341	31.7403920063816	1.7621886865025e-08	3.1412811488628e-06
"PladumEVm059147"	4.68297698853758	0.127271995485054	31.6470153559131	1.84898546400509e-08	3.27927427039968e-06
"PladumEVm007914"	-1.28042744010484	4.02100756157098	31.5746489864418	1.91918741102659e-08	3.38659035120495e-06
"PladumEVm115173"	2.0902011945835	1.68308516484284	31.5089761207734	1.98520443557458e-08	3.48548029017791e-06
"PladumEVm012179"	0.954233962019578	7.7397028636737	31.4332537591249	2.06415223679377e-08	3.60597075006688e-06
"PladumEVm074547"	1.41356724113722	2.69352574369719	31.3953229397956	2.10487334401587e-08	3.65881441624728e-06
"PladumEVm067734"	1.97624910064227	2.11774169072599	31.2555178452926	2.26203635215355e-08	3.91253901524223e-06
"PladumEVm008429"	-1.06500125607203	3.44668987119284	31.2225325441081	2.30079948810642e-08	3.95998193669705e-06
"PladumEVm045063"	-1.62664531127718	3.676264381093	31.0331134993068	2.53663634668721e-08	4.34448712337766e-06
"PladumEVm000564"	1.1734503239652	3.17366109653179	30.8591005844263	2.77457940112408e-08	4.72883071687191e-06
"PladumEVm002416"	1.62749415950655	2.70671055627089	30.8314942490285	2.81433120092574e-08	4.77329698199731e-06
"PladumEVm002651"	-1.85408015269591	7.2101210080864	30.8138049317682	2.84010238345875e-08	4.77613066757094e-06
"PladumEVm045314"	1.62512590413815	1.83236568896994	30.8095553181269	2.84632869119624e-08	4.77613066757094e-06
"PladumEVm001794"	1.01220861813586	3.57400805808127	30.8022855590635	2.8570116761279e-08	4.77613066757094e-06
"PladumEVm009611"	1.64691467933896	2.36617624213237	30.7650606073918	2.91234681557958e-08	4.84545168521595e-06
"PladumEVm035393"	1.49231374491949	3.94181889112912	30.6064706146654	3.16037987809479e-08	5.23319964742909e-06
"PladumEVm030102"	-1.58799633250844	3.21571029138521	30.5875126354986	3.19141204970488e-08	5.25965781153957e-06
"PladumEVm096527"	2.31731970871526	1.60595640531447	30.5110897894541	3.31963459608107e-08	5.44529169729937e-06
"PladumEVm033948"	-2.82994937049815	-0.244826167099465	30.4367267596851	3.44935392693752e-08	5.6316344323958e-06
"PladumEVm029034"	1.86667108878878	0.907231470616543	30.4048563240692	3.50649215543919e-08	5.69829439157627e-06
"PladumEVm010722"	1.36556746764081	1.5136270371455	30.353875976481	3.59986928775538e-08	5.8229552335595e-06
"PladumEVm014868"	-1.0314860971822	3.19710721583766	30.3245345958517	3.6547371392359e-08	5.88446363630245e-06
"PladumEVm003598"	1.09360742096864	2.1145475407513	30.2916092529568	3.71730513805759e-08	5.95774881736671e-06
"PladumEVm014553"	-1.36452660107996	1.95435894200344	30.2557344729312	3.78670021639843e-08	6.04125656898378e-06
"PladumEVm010505"	-1.05708944451701	3.33495410961127	30.2468097903428	3.80416451428244e-08	6.041531998387e-06
"PladumEVm103662"	-1.03212038053271	3.13826350788525	30.1973631668364	3.9023966574064e-08	6.16949487842181e-06
"PladumEVm084685"	1.81630224525687	1.77623592105601	30.1866991768757	3.92391297322671e-08	6.17556735907964e-06
"PladumEVm037582"	-1.11994688090318	4.9263035004632	30.0867050588436	4.13153973231302e-08	6.47317787925044e-06
"PladumEVm013656"	-1.00984856522667	4.03272058880539	30.0399512066441	4.23236067610216e-08	6.60153793135417e-06
"PladumEVm045815"	-1.3599015857315	4.77166170968202	30.0003995871837	4.31957283458249e-08	6.70762467855456e-06
"PladumEVm017376"	-1.15819216851062	2.15106616832881	29.9364998334571	4.46429355227473e-08	6.90167931074897e-06
"PladumEVm021530"	-1.03375768205525	4.39852633373178	29.9256223604856	4.48940838319868e-08	6.90993125553211e-06
"PladumEVm048444"	-3.13504774681967	1.32163278506162	29.9052078897833	4.53692580126039e-08	6.95244081448408e-06
"PladumEVm061131"	1.22744110762692	3.71264726568559	29.8886783436004	4.57576946766526e-08	6.98134538998936e-06
"PladumEVm005674"	0.958906240884339	6.33293983437508	29.8410300148575	4.68961548589576e-08	7.1063904926121e-06
"PladumEVm093770"	-1.51676695000505	5.47561138572201	29.8373990709762	4.69840637623686e-08	7.1063904926121e-06
"PladumEVm010396"	-1.30638792115804	2.04409993620547	29.8200701966135	4.74058933427308e-08	7.11605517659141e-06
"PladumEVm008136"	-0.991209747971645	3.80004388657987	29.8180505210381	4.74553037049085e-08	7.11605517659141e-06
"PladumEVm018355"	1.08641095571599	2.77475861237881	29.7666080218484	4.87313622749322e-08	7.2761754979652e-06
"PladumEVm019313"	1.33961955520482	1.40603819914466	29.6126189795373	5.27603395170691e-08	7.84422766973139e-06
"PladumEVm006232"	1.24379692667194	2.43846180799663	29.4008526074629	5.88517450609832e-08	8.71280135883767e-06
"PladumEVm085768"	-1.47011167894233	1.55828170373109	29.3696088318804	5.98082604894927e-08	8.81704984490459e-06
"PladumEVm010829"	1.36388283093241	2.31934745882803	29.2716246743742	6.29102112076524e-08	9.23537760245449e-06
"PladumEVm074708"	1.12249296301409	3.92827828829536	29.2502021586979	6.36095895908973e-08	9.29897678124001e-06
"PladumEVm019772"	1.34973116479662	3.71904958988547	29.1802959064518	6.59464580492833e-08	9.56437236759628e-06
"PladumEVm009286"	-1.11291652064684	4.88252320497455	29.179530465371	6.59725161163944e-08	9.56437236759628e-06
"PladumEVm096547"	-1.80871360160079	4.01550101658834	29.1557942728568	6.67857128649951e-08	9.64225628838869e-06
"PladumEVm121804"	1.28058393064737	2.86676295950497	29.0807020611239	6.94250960229557e-08	9.98207172817304e-06
